Date,workoutId,exerciseId,singleSetId,exerciseName,reps,weight,fake_user_id
2021-03-07,Zg7ThO2Lv4,BTmBzxhAmZ,X5lF8xYXM5,Dumbbell Pullover,10,11.339822735890994,fake_id_589
2021-04-01,DxxwhjbCGh,9VAkz3bNl4,MfilQC2kV0,Decline Push Up,15,0.0,fake_id_545
2021-01-20,51rYwkwYlC,djuvlRHUvb,6Dkb9htFdu,Dumbbell Rear Delt Raise,9,13.607787283069193,fake_id_559
2021-07-27,7BtpdMyeEi,DhkjvJNsNR,q3NKUngw7p,Sit Up,12,0.0,fake_id_590
2021-11-03,X7WUFkJacr,otjt26R0oL,HA41FpHtp9,Barbell Shoulder Press,4,38.55539730202938,fake_id_552
2021-05-15,MF1I00Zf88,erjFOF21dc,DeEogvUSJg,Reverse Barbell Curl,5,20.41168092460379,fake_id_602
2021-05-24,DXPIGGv7zH,oDI8CKhqJi,Jyq5oNMbOf,Single Arm Preacher Curl,8,17.5,fake_id_551
2021-10-12,wVLcbuHFVn,omtypRFVyt,aKaPAwf1lJ,Power Clean,15,20.41168092460379,fake_id_584
2021-08-25,dfu748hBw9,163u4e1Em9,deQ47DIXGi,Hammerstrength Shrug,12,45.35929094356398,fake_id_562
2021-10-01,BziIDKwWMi,nNMm3ywt6H,kmH8677pDw,Pike Push Up,10,0.0,fake_id_586
2021-09-29,WMxKncz0fz,3GvUTFN8up,TjGkqpnNby,Calf Raise,37,0.0,fake_id_564
2021-05-07,jx12CF2mrb,XlazCsjHwn,dR2xoH1Y8X,Hang Snatch,5,22.67964547178199,fake_id_544
2021-06-16,abJkxZ5t3N,UThEK7cf4f,mZzCduuUrt,Machine Fly,12,58.96707822663317,fake_id_559
2021-08-09,z0GoTysqRs,djuvlRHUvb,DC5d68ulCi,Dumbbell Rear Delt Raise,6,3.628743275485118,fake_id_553
2021-04-01,Pqowz3JPfZ,QFhUumXlvb,g1BUZujzyG,Reverse Grip Barbell Bent Over Row,10,70.0,fake_id_551
2021-08-19,f1EXWeUo4N,wNImc4b4MY,nopADpgfkq,Leg Curl,10,70.0,fake_id_551
2021-03-26,yhV2HNCUKS,9fptvki4pW,pnwzAJfrCN,Barbell Hip Thrust,4,40.82336184920758,fake_id_542
2021-07-06,M9HZJuoqOk,9q2Cdgm0FM,3Wqdn9ejre,Machine Leg Press,15,117.93415645326634,fake_id_574
2021-12-08,GlHFojRhfI,BN1DjSE1Zi,XpulW03P2V,Romanian Deadlift,10,47.62725549074217,fake_id_546
2021-03-17,ndfLa8pJlp,k4ivWt2zuv,gmDTNM2zVf,Barbell Glute Bridge,12,15.0,fake_id_548
2021-02-17,xk80ABWKe0,dFycDkJyHe,qRTIJYddo5,Dumbbell Shoulder Raise,8,4.535929094356398,fake_id_573
2021-09-13,GDjd5E3LkK,dFycDkJyHe,GGcqTotqZ7,Dumbbell Shoulder Raise,13,5.669911367945497,fake_id_550
2021-11-04,FcnXmimzuB,xPS7RzoOGm,C09Ps1XHjU,Bent Over Barbell Row,5,74.84283005688056,fake_id_584
2021-06-27,ExJpeAkaqG,4IMiKZHvCG,EjCSpbUAIg,Shotgun Row,2,25.0,fake_id_548
2021-02-05,hcn7BIXahg,otjt26R0oL,VxfnMaQVTz,Barbell Shoulder Press,11,27.215574566138386,fake_id_542
2021-04-14,WacVapDJrl,uHBREgyju0,PB2gCnU5Yn,Step Up,10,0.0,fake_id_545
2021-11-14,T89CuNMEMY,7wof3tzAVY,SIGKptwHei,Smith Machine Stiff-Legged Deadlift,12,40.82336184920758,fake_id_565
2021-07-24,RsCLOi2iv3,AF7Qq7XK2r,Eqy9GAxbbM,Air Squats,10,0.0,fake_id_586
2021-09-04,EngO4Co9m4,9q2Cdgm0FM,3Z26oeGLp5,Machine Leg Press,12,108.86229826455354,fake_id_574
2021-01-14,W0dwwS6gmp,UQBXLgsfXN,uY3SHQzTDF,Dumbbell Shrug,8,22.67964547178199,fake_id_555
2021-10-27,XAfEkGXBBL,9VAkz3bNl4,Id7mxRXbtu,Decline Push Up,5,0.0,fake_id_560
2021-11-30,5IcaFBUOuw,KVt5QRq9Hx,cXnMq97e7B,Side Laterals to Front Raise,15,3.628743275485118,fake_id_542
2021-11-08,gw7QRDQhjy,s5tzCNPRXw,IJqbCBmrM7,Lunge Jump,15,0.0,fake_id_557
2021-05-17,8R8m2GLTuV,r7LqFtCsNv,TE81UI6wQ7,Decline Leg Raise,10,0.0,fake_id_572
2021-01-14,CZWLed7CVZ,oCzmU1KcYe,JuSlXN03SH,Cable Shoulder Internal Rotation,10,11.339822735890994,fake_id_562
2021-02-11,R8W1F7xLKH,dFycDkJyHe,vjdLIpDiFL,Dumbbell Shoulder Raise,8,3.628743275485118,fake_id_553
2021-10-19,fE07oFjeni,dFycDkJyHe,Cweeoovu7t,Dumbbell Shoulder Raise,3,20.41168092460379,fake_id_593
2021-10-19,3Zp2dpesxp,uHBREgyju0,87CvujNyxs,Step Up,4,0.0,fake_id_553
2021-11-10,zvlzqE7YEc,k3yxx2a6oz,FdHytkL5Oi,Seated Machine Calf Press,10,40.82336184920758,fake_id_593
2021-05-24,GFEHoOxFXk,ewEcdHovom,aHNhxX8fg4,Hanging Leg Raise,9,0.0,fake_id_569
2021-06-24,xcdTBE8Saa,w5njIJMJHb,z7PHiScEc8,Kettlebell Upright Row,6,8.164672369841515,fake_id_578
2021-09-06,mur8yYaAP7,AOQBAQ8rXC,3VJmHsLrQe,Pendlay Row,5,52.16318458509857,fake_id_587
2021-12-03,EztX45ghwb,k3yxx2a6oz,noRYiWAgtZ,Seated Machine Calf Press,20,40.0,fake_id_591
2021-01-22,lSAAxQX37T,G1mxtZtEs5,X4WFfw3wKG,Back Squat,8,102.05840462301894,fake_id_577
2021-07-12,rvKHGCFSVg,qfkBJ4A5eQ,bTNCbIUR0b,Dead Bug,29,0.0,fake_id_550
2021-10-17,HsNgiXhk9h,3GvUTFN8up,nAQxlPnnew,Calf Raise,11,40.82336184920758,fake_id_565
2021-07-01,WryImHu6JT,zJlvUiMLou,d5sdafhiyT,Barbell Incline Bench Press,8,40.82336184920758,fake_id_544
2021-06-06,JBrxyfkyDF,AF7Qq7XK2r,LBfrBOKbyZ,Air Squats,8,0.0,fake_id_568
2021-04-24,qjAEjtP8HQ,Gx6Z2fevPD,AqxczKPExc,Incline Dumbbell Row,13,15.87575183024739,fake_id_550
